Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/15/25,148.5,149.5,146,146.75,119,54484,8041145.5
10/14/25,148.75,150,146.25,147.5,203,237903,35170601.75
10/13/25,149.25,150,147.25,148,289,104602,15616462.75
2010-10-25,143,151.75,143,149.25,620,2437769,361583046.8
2010-09-25,141.5,144,141.5,142.25,198,617560,87688582
2010-08-25,141.75,142,140,141.5,273,239169,33756270
2010-07-25,143,145,140.75,141.5,413,263411,37565474.25
2010-03-25,145.5,145.5,142.5,143.25,328,199974,28834616.5
2010-02-25,146.5,146.75,144,145,219,110790,16128861.75
2010-01-25,146.75,146.75,144,144.75,200,66279,9646311.75
9/30/25,146.75,146.75,143.5,146,352,1699705,247947499
9/29/25,144,147.5,143.75,145,317,443050,64289577.75
9/26/25,146.75,147,141,143.75,537,473505,68121223
9/25/25,142,149,142,146.75,978,1287491,187361786.8
9/24/25,138,142,137,139.75,762,1201682,166601959.8
9/23/25,129.5,137.25,129.5,136.25,1027,1924929,259014666.3
9/22/25,125,129.5,125,127.25,243,176489,22570642.5
9/19/25,127,128,124.5,125.5,337,373226,46827900
9/18/25,127,130,125.5,127,194,177455,22457139.5
9/17/25,127.5,130,125.5,126.75,257,67741,8637230
9/16/25,126,129.75,126,128,211,825657,105888237.3
9/15/25,129.75,130,125.75,126.25,352,275153,35073444.75
2009-12-25,131,131,127,129.5,277,178157,22922612.75
2009-11-25,133,133,130,130.75,341,1127956,147988081.8
2009-10-25,134,135,131.5,132,509,4933060,651890283.8
2009-09-25,131,138.75,130.5,132.75,932,23404766,3066678188
2009-08-25,127,133.75,127,132.25,540,709927,92776950.25
2009-04-25,124.5,128.5,122.75,127.25,330,271520,34260515.5
2009-03-25,125,125.5,122.5,124,155,256238,31728120.75
2009-02-25,124.75,125.5,124,124.5,169,469831,58670282
2009-01-25,124,125,123,124.25,192,239420,29685017.5
8/29/25,123.75,125,121.75,123.25,290,300992,37117232.25
8/28/25,125.25,127,123.5,124,418,602950,75693696.25
8/27/25,119,126,119,124.25,708,2180542,263135190.3
8/26/25,118,120,117,118.75,195,219254,26017007.5
8/25/25,115,118.75,114.25,117,218,247798,29090843.5
8/25/25,115,118.75,114.25,117,218,247798,29090843.5
8/22/25,117,118,115.5,116,164,126875,14731497.75
8/21/25,118,118.75,116.25,118,269,2313842,273024813
8/20/25,116,120,116,118,537,1699494,199783937.8
8/19/25,114,119.5,114,116,606,6161113,704089496
8/18/25,119.5,120,111,114.25,611,2286753,261538192
8/15/25,125,125,115,118.25,1041,1597079,190413091.8
8/14/25,107,129.75,107,123,2392,11914917,1384312354
8/13/25,99,106.5,99,105.75,1142,8000491,809809418.3
2008-12-25,94.8,99,92.8,98.1,395,760884,73145373.3
2008-11-25,93.8,95,92.7,94.6,360,410937,38750488.2
2008-07-25,90,94.5,89.9,92.6,420,632870,57979853
2008-06-25,88.8,90,88.1,89.5,189,218621,19476932.4
2008-05-25,88,89,87.5,88.5,186,746999,66089158.1
2008-04-25,90.2,90.9,86,87.7,484,770426,68476521.1
2008-01-25,84.5,91.4,84.5,90.4,1045,3908350,337429883.5
7/31/25,84,85.5,84,84.5,334,492519,41820542.4
7/30/25,80.4,85.8,80.4,83.9,760,1166753,96082472.9
7/29/25,78,80,78,79.4,212,213246,16896575
7/28/25,77,78,76.9,77.1,107,136220,10489124.6
7/25/25,76.6,77,76.6,77,54,126634,9749152.2
7/24/25,77,77,76.3,76.7,114,350984,26995947.6
7/23/25,77,77.4,76.5,76.6,144,1119992,86083235.3
7/22/25,77.2,77.2,76,76.7,63,80468,6171440.7
